1.4601,1.5555,1.58,1.5614,1.5125,1.4252,1.2778,1.0611,0.8066,0.57602,0.41411,0.31901,0.26343,0.23552,0.24962,0.3225,0.45324,0.62444,0.80938,0.98513,1.1539,1.3389,1.5406,1.7054,1.7616,1.6917,1.5665,1.5006,1.5642,1.7258,1.8753,1.9035,1.7739,1.5412,1.3034,1.1248,0.99782,0.88438,0.78202,0.7341,0.7784,0.90503,1.0712,1.2386,1.3827,1.4784,1.4986,1.4358,1.3185,1.1926,1.0729,0.92665,0.73632,0.57511,0.56827,0.75743,1.0325,1.2164,1.2092,1.0586,0.91383,0.90808,1.0604,1.28
1.2635,1.3632,1.4008,1.4165,1.4162,1.3684,1.236,1.0188,0.77297,0.57773,0.47058,0.42368,0.38894,0.35366,0.34459,0.39249,0.50813,0.68039,0.87791,1.0611,1.2114,1.3419,1.4683,1.5777,1.6382,1.6385,1.614,1.6315,1.7358,1.9021,2.0407,2.0568,1.918,1.6808,1.4475,1.2782,1.1456,0.99194,0.8224,0.71624,0.74357,0.89437,1.098,1.2894,1.4416,1.5484,1.6011,1.5888,1.5142,1.3951,1.2408,1.0432,0.81925,0.65021,0.62876,0.75344,0.90882,0.96372,0.87637,0.71608,0.60834,0.6484,0.83451,1.0741
1.1231,1.1972,1.2348,1.2913,1.3665,1.4017,1.3333,1.1551,0.93722,0.77453,0.70535,0.68781,0.66108,0.61227,0.57736,0.59935,0.70019,0.87191,1.0722,1.2397,1.3344,1.3639,1.3692,1.3893,1.4398,1.5142,1.6027,1.7089,1.8394,1.9762,2.0689,2.0635,1.9446,1.7597,1.591,1.4802,1.384,1.2321,1.0315,0.88173,0.87805,1.0217,1.2348,1.4361,1.5887,1.6941,1.7603,1.781,1.7401,1.6267,1.4381,1.1855,0.9171,0.71988,0.6528,0.6763,0.68436,0.61034,0.48011,0.37539,0.3729,0.50277,0.7284,0.96195
1.1429,1.177,1.1947,1.2628,1.3861,1.4972,1.5117,1.4034,1.2344,1.1027,1.0507,1.0378,1.006,0.94942,0.9093,0.92974,1.0314,1.2005,1.382,1.4986,1.4993,1.3969,1.2608,1.1752,1.1931,1.3114,1.4851,1.6637,1.8136,1.9166,1.9611,1.9432,1.8725,1.7812,1.7158,1.691,1.6549,1.5384,1.3493,1.188,1.1541,1.2598,1.4396,1.6163,1.7482,1.8345,1.8924,1.924,1.905,1.8015,1.5951,1.304,0.9955,0.75877,0.62891,0.54603,0.42561,0.26313,0.14048,0.14148,0.2869,0.53414,0.80637,1.0245
1.3257,1.3322,1.3163,1.3467,1.4506,1.5854,1.6668,1.6404,1.5352,1.4328,1.3796,1.3504,1.3067,1.2568,1.2418,1.292,1.4109,1.5722,1.7136,1.7564,1.6548,1.4339,1.1823,1.0054,0.97171,1.0837,1.2873,1.5065,1.6774,1.7696,1.7928,1.7817,1.7685,1.7725,1.8055,1.8571,1.8773,1.8106,1.6676,1.5331,1.4872,1.5411,1.6504,1.7623,1.8438,1.892,1.926,1.9553,1.9553,1.8771,1.6847,1.3902,1.0658,0.80136,0.62369,0.47164,0.2821,0.088058,0,0.098562,0.36603,0.70851,1.0202,1.2318
1.5753,1.5812,1.5234,1.4686,1.4826,1.5773,1.6904,1.7394,1.7028,1.6285,1.5634,1.5076,1.4528,1.4235,1.4544,1.5522,1.6956,1.845,1.9409,1.9186,1.7491,1.4689,1.1667,0.93954,0.85165,0.91691,1.1004,1.3305,1.525,1.6329,1.6638,1.6718,1.705,1.7753,1.8705,1.9644,2.0143,1.9847,1.8929,1.8032,1.7636,1.7701,1.7944,1.8154,1.8239,1.8242,1.8358,1.8704,1.902,1.8709,1.7243,1.4632,1.1577,0.89958,0.71965,0.56397,0.37667,0.19207,0.11879,0.23826,0.53266,0.9021,1.2353,1.4652
1.7869,1.811,1.7033,1.5361,1.4226,1.437,1.5491,1.6566,1.6858,1.6424,1.5671,1.4855,1.4199,1.408,1.4755,1.6084,1.7657,1.9006,1.9639,1.9128,1.7372,1.4756,1.1981,0.97428,0.85594,0.87315,1.0219,1.2469,1.4561,1.5787,1.6183,1.639,1.6987,1.8045,1.9273,2.0292,2.0741,2.0465,1.9759,1.9165,1.8894,1.8679,1.8221,1.7531,1.6836,1.6414,1.6519,1.7191,1.8041,1.8331,1.7436,1.5339,1.2764,1.0659,0.93691,0.8378,0.70181,0.53529,0.42428,0.46127,0.6706,0.99466,1.3384,1.6201
1.9206,1.967,1.8092,1.5379,1.307,1.2361,1.3251,1.4681,1.5571,1.5557,1.4854,1.384,1.2955,1.2673,1.3225,1.4419,1.5809,1.6946,1.7459,1.7099,1.5863,1.4039,1.2059,1.0342,0.93099,0.93938,1.0753,1.291,1.4883,1.591,1.6089,1.6198,1.6888,1.8162,1.9556,2.0538,2.0747,2.0174,1.9287,1.8702,1.8545,1.8324,1.7519,1.6152,1.4785,1.4099,1.448,1.5768,1.7261,1.8049,1.7558,1.5929,1.3971,1.259,1.2064,1.1832,1.1064,0.94608,0.75825,0.65147,0.71467,0.95982,1.3183,1.6772
1.9941,2.0606,1.8748,1.5474,1.2484,1.1116,1.1594,1.3076,1.443,1.4943,1.4484,1.3327,1.1994,1.105,1.0829,1.128,1.2095,1.293,1.3499,1.3599,1.3172,1.2336,1.1308,1.0361,0.98809,1.032,1.182,1.3833,1.5354,1.5749,1.5354,1.5151,1.5854,1.7384,1.9086,2.0226,2.0337,1.9458,1.8224,1.7456,1.7389,1.7381,1.6558,1.479,1.2949,1.2206,1.309,1.5107,1.7117,1.8094,1.7701,1.6371,1.4944,1.4134,1.4072,1.4229,1.3775,1.217,0.96704,0.74141,0.68227,0.86572,1.2476,1.6825
2.0291,2.112,1.9386,1.6263,1.3267,1.1548,1.1486,1.2662,1.4176,1.5107,1.4919,1.3635,1.1736,0.98728,0.85561,0.79871,0.80924,0.86586,0.94061,1.0033,1.0326,1.0257,0.99642,0.96908,0.97927,1.0638,1.2235,1.3928,1.4756,1.4316,1.3242,1.2714,1.3503,1.5458,1.7748,1.9407,1.9781,1.8855,1.7368,1.6386,1.6367,1.6612,1.5931,1.401,1.1974,1.1411,1.2898,1.5537,1.7788,1.8647,1.8127,1.6894,1.5656,1.4814,1.442,1.4215,1.3659,1.2176,0.972,0.72381,0.63039,0.80065,1.2057,1.6835
